Temperatura_C,Humedad_Relativa_Porc,Radiacion_Solar_W_m2,Velocidad_Viento_kmh,Presion_Atmosferica_hPa,Nivel_CO2_ppm,Presencia_Hongo,Porcentaje_Plantas_Afectadas
12.6,94.6,235.0,3.44,1012.5,374.0,0,0.0
15.1,96.5,172.0,4.01,1009.3,369.0,1,82.6
15.3,83.1,165.0,3.9,1008.4,400.0,0,0.0
19.3,87.2,98.0,2.54,1008.8,427.0,0,0.0
18.4,74.7,192.0,0.58,1011.6,356.0,0,0.0
20.9,97.8,220.0,3.41,1013.1,408.0,0,0.0
16.7,76.5,145.0,1.77,1008.3,362.0,0,0.0
13.2,96.4,212.0,2.75,1012.4,354.0,0,0.0
19.1,88.2,244.0,5.29,1010.0,355.0,0,0.0
19.6,87.0,115.0,2.5,1010.9,433.0,0,0.0
17.6,84.4,169.0,4.7,1013.6,362.0,0,0.0
19.7,76.5,129.0,1.44,1010.0,355.0,0,0.0
16.9,74.9,215.0,3.86,1010.8,394.0,0,0.0
17.2,76.2,178.0,5.39,1008.1,434.0,0,0.0
16.3,75.2,188.0,1.01,1008.5,376.0,0,0.0
12.3,91.8,216.0,0.54,1009.6,392.0,0,0.0
13.1,79.8,147.0,2.67,1008.2,354.0,0,0.0
12.3,71.6,236.0,0.96,1011.8,395.0,0,0.0
18.4,97.1,171.0,4.24,1010.6,408.0,0,0.0
15.1,94.7,107.0,5.07,1011.3,407.0,1,72.5
17.1,96.0,198.0,2.67,1009.0,383.0,1,88.1
21.1,97.9,215.0,1.79,1009.8,382.0,0,0.0
14.5,74.9,134.0,2.67,1012.0,361.0,0,0.0
16.1,81.1,226.0,4.12,1013.8,387.0,0,0.0
19.6,91.2,234.0,0.55,1008.3,360.0,0,0.0
14.3,89.5,127.0,3.45,1013.3,427.0,0,0.0
12.8,74.3,247.0,3.57,1011.5,447.0,0,0.0
14.9,92.8,104.0,3.69,1011.4,447.0,0,0.0
13.6,76.3,114.0,1.71,1011.0,437.0,0,0.0
21.3,76.3,111.0,4.07,1008.4,410.0,0,0.0
20.1,85.0,232.0,0.96,1008.5,420.0,0,0.0
18.3,86.6,191.0,1.5,1011.6,379.0,0,0.0
20.7,86.2,106.0,4.89,1010.0,413.0,0,0.0
20.0,72.6,155.0,4.19,1013.5,396.0,0,0.0
13.9,94.6,185.0,0.57,1010.4,398.0,0,0.0
20.9,77.4,94.0,1.74,1008.9,426.0,0,0.0
17.4,73.6,230.0,1.57,1012.3,378.0,0,0.0
20.1,94.9,217.0,1.85,1009.8,382.0,0,0.0
21.0,96.8,166.0,1.74,1011.2,442.0,0,0.0
15.2,94.1,244.0,0.81,1012.2,356.0,1,64.5
13.1,92.7,151.0,2.79,1013.4,399.0,0,0.0
14.3,88.3,247.0,4.16,1012.8,441.0,0,0.0
16.3,85.4,194.0,3.53,1012.1,411.0,1,18.0
20.2,72.4,188.0,3.86,1012.1,405.0,0,0.0
20.6,81.4,108.0,0.91,1013.7,375.0,0,0.0
12.1,80.4,230.0,5.26,1009.8,384.0,0,0.0
17.1,77.3,153.0,4.69,1008.0,435.0,0,0.0
16.2,90.3,108.0,4.53,1009.6,406.0,1,44.1
14.2,83.9,82.0,4.61,1009.3,401.0,0,0.0
13.2,72.3,175.0,5.16,1012.0,360.0,0,0.0
15.4,76.2,170.0,3.22,1011.8,352.0,0,0.0
21.4,89.1,202.0,1.5,1011.6,446.0,0,0.0
15.2,72.1,231.0,3.58,1008.1,388.0,0,0.0
17.2,93.8,93.0,4.21,1012.4,410.0,1,67.8
19.0,83.9,204.0,4.19,1009.9,358.0,0,0.0
15.6,83.5,112.0,3.11,1012.0,418.0,0,0.0
21.7,86.6,226.0,0.84,1011.3,443.0,0,0.0
21.6,93.1,219.0,2.36,1010.1,408.0,0,0.0
14.5,79.7,172.0,5.1,1008.8,363.0,0,0.0
17.0,89.0,201.0,3.42,1008.6,408.0,1,32.3
15.0,85.8,133.0,3.19,1013.0,427.0,1,21.9
14.8,77.5,160.0,1.84,1013.5,391.0,0,0.0
12.4,94.6,220.0,2.34,1011.9,438.0,0,0.0
18.1,92.3,158.0,4.98,1008.6,415.0,0,0.0
17.0,88.4,141.0,3.83,1010.4,440.0,1,33.7
12.5,93.8,164.0,4.44,1012.4,412.0,0,0.0
14.8,94.3,221.0,2.77,1012.7,363.0,0,0.0
21.1,89.8,137.0,3.65,1008.7,381.0,0,0.0
14.4,93.4,110.0,1.74,1008.0,370.0,0,0.0
13.4,89.5,201.0,4.03,1012.3,441.0,0,0.0
16.9,89.0,220.0,2.64,1010.1,426.0,1,32.1
21.9,87.3,97.0,2.71,1009.5,418.0,0,0.0
14.4,91.1,121.0,3.75,1008.1,380.0,0,0.0
18.7,74.4,104.0,5.18,1011.2,368.0,0,0.0
19.6,94.7,139.0,0.82,1013.1,426.0,0,0.0
14.4,94.4,157.0,4.62,1013.7,397.0,0,0.0
19.3,70.8,207.0,1.96,1011.4,373.0,0,0.0
15.7,93.1,191.0,2.72,1011.1,412.0,1,59.8
18.3,73.6,186.0,0.61,1008.5,354.0,0,0.0
18.3,79.4,140.0,2.01,1011.3,383.0,0,0.0
17.4,90.8,223.0,3.01,1010.3,397.0,1,47.7
12.9,74.5,160.0,0.78,1011.6,365.0,0,0.0
20.4,92.9,246.0,2.96,1010.3,448.0,0,0.0
15.2,93.3,188.0,5.14,1009.4,371.0,1,64.2
13.9,84.2,101.0,1.03,1008.6,363.0,0,0.0
12.4,70.2,195.0,4.32,1009.9,370.0,0,0.0
17.9,78.0,135.0,2.55,1008.6,427.0,0,0.0
18.8,87.3,197.0,3.78,1009.1,393.0,0,0.0
12.2,97.5,92.0,1.8,1013.9,407.0,0,0.0
17.1,87.7,110.0,1.3,1010.7,352.0,1,23.2
14.3,77.3,225.0,1.3,1011.2,353.0,0,0.0
18.5,87.8,119.0,0.85,1013.2,395.0,0,0.0
13.7,85.1,222.0,1.43,1014.0,432.0,0,0.0
18.9,91.8,127.0,3.82,1011.5,439.0,0,0.0
15.9,73.0,189.0,4.91,1012.9,359.0,0,0.0
21.4,91.3,198.0,4.57,1010.0,404.0,0,0.0
13.4,85.2,167.0,3.93,1009.8,441.0,0,0.0
15.4,97.0,132.0,1.05,1010.4,389.0,1,90.5
13.1,79.6,116.0,1.95,1012.0,433.0,0,0.0
21.2,87.7,86.0,2.05,1012.1,363.0,0,0.0
20.8,96.1,132.0,1.75,1009.9,444.0,0,0.0
14.6,72.9,191.0,3.08,1008.8,425.0,0,0.0
18.6,96.2,240.0,3.18,1011.8,444.0,0,0.0
20.2,89.3,228.0,2.28,1008.8,418.0,0,0.0
17.6,71.9,210.0,2.27,1011.5,386.0,0,0.0
17.3,78.4,214.0,4.64,1012.2,444.0,0,0.0
14.4,89.8,193.0,4.45,1012.2,378.0,0,0.0
12.9,71.9,124.0,2.04,1012.5,383.0,0,0.0
21.0,86.3,234.0,5.07,1013.2,420.0,0,0.0
21.0,79.7,194.0,5.26,1011.0,427.0,0,0.0
18.3,87.4,175.0,2.13,1012.4,443.0,0,0.0
15.4,71.3,99.0,2.27,1011.7,370.0,0,0.0
15.5,94.4,156.0,3.03,1009.1,430.0,1,68.1
19.3,97.3,158.0,5.21,1008.2,424.0,0,0.0
21.0,97.1,227.0,4.88,1009.7,356.0,0,0.0
20.9,91.0,173.0,1.01,1010.7,389.0,0,0.0
19.8,73.6,145.0,2.46,1011.7,378.0,0,0.0
18.4,91.2,246.0,3.27,1013.1,380.0,0,0.0
12.8,70.7,99.0,3.02,1009.2,448.0,0,0.0
13.6,70.6,152.0,1.47,1008.8,414.0,0,0.0
21.0,79.1,87.0,4.79,1013.8,422.0,0,0.0
18.1,83.7,206.0,3.88,1008.6,448.0,0,0.0
12.1,91.6,236.0,4.69,1010.9,388.0,0,0.0
13.0,89.1,128.0,4.79,1011.5,430.0,0,0.0
18.6,82.5,226.0,4.24,1011.2,393.0,0,0.0
12.1,77.7,130.0,2.7,1008.5,437.0,0,0.0
13.6,97.9,235.0,3.55,1008.3,368.0,0,0.0
17.5,81.9,208.0,1.3,1008.6,445.0,0,0.0
18.9,82.6,217.0,3.87,1011.5,372.0,0,0.0
18.5,74.6,83.0,1.4,1011.3,383.0,0,0.0
14.2,92.3,244.0,3.97,1009.4,426.0,0,0.0
19.1,89.4,204.0,1.65,1011.8,389.0,0,0.0
14.4,76.2,132.0,1.09,1012.9,411.0,0,0.0
15.3,72.3,221.0,1.33,1008.2,394.0,0,0.0
19.5,89.1,128.0,0.51,1011.0,424.0,0,0.0
18.5,88.3,228.0,4.09,1012.1,373.0,0,0.0
20.5,77.7,99.0,4.16,1009.5,356.0,0,0.0
18.6,96.6,200.0,3.07,1009.8,380.0,0,0.0
17.7,74.2,172.0,1.31,1011.7,397.0,0,0.0
12.9,82.1,96.0,0.92,1013.4,367.0,0,0.0
15.7,96.4,121.0,0.6,1012.9,385.0,1,84.0
14.7,81.8,82.0,1.33,1011.5,390.0,0,0.0
14.4,87.9,160.0,4.95,1012.4,356.0,0,0.0
21.7,81.1,131.0,1.71,1010.2,408.0,0,0.0
15.9,77.7,182.0,2.27,1011.8,438.0,0,0.0
20.9,97.6,131.0,1.03,1010.8,365.0,0,0.0
18.3,81.5,131.0,1.61,1009.1,410.0,0,0.0
19.9,95.0,206.0,3.1,1012.2,416.0,0,0.0
17.0,76.4,88.0,3.54,1011.3,392.0,0,0.0
17.8,76.0,233.0,1.73,1010.2,420.0,0,0.0
16.9,70.9,225.0,0.79,1013.5,391.0,0,0.0
14.0,88.2,194.0,2.46,1008.1,400.0,0,0.0
19.2,80.3,181.0,1.67,1009.9,351.0,0,0.0
14.8,94.2,232.0,1.6,1008.3,419.0,0,0.0
12.2,83.2,112.0,5.3,1012.6,416.0,0,0.0
18.5,97.1,93.0,3.58,1012.2,354.0,0,0.0
13.8,75.2,121.0,3.28,1010.0,387.0,0,0.0
21.4,94.3,215.0,2.58,1012.1,448.0,0,0.0
21.5,91.7,86.0,2.64,1010.4,392.0,0,0.0
21.1,91.6,179.0,3.2,1012.5,400.0,0,0.0
15.7,93.7,249.0,3.98,1010.7,441.0,1,70.9
12.2,91.3,225.0,4.01,1010.5,422.0,0,0.0
21.3,87.5,169.0,1.36,1013.6,408.0,0,0.0
16.3,73.7,91.0,3.0,1009.5,430.0,0,0.0
21.7,70.9,221.0,2.56,1008.7,436.0,0,0.0
21.6,95.8,182.0,4.85,1011.5,396.0,0,0.0
20.5,87.3,100.0,3.66,1013.8,398.0,0,0.0
14.9,92.3,96.0,3.16,1010.3,389.0,0,0.0
15.9,83.5,235.0,1.08,1008.4,447.0,0,0.0
20.5,73.3,194.0,3.53,1010.0,420.0,0,0.0
15.2,73.5,221.0,1.09,1011.0,358.0,0,0.0
13.7,89.2,229.0,2.19,1009.0,436.0,0,0.0
17.6,82.0,177.0,1.21,1011.9,398.0,0,0.0
21.4,75.6,168.0,3.96,1014.0,357.0,0,0.0
19.0,83.8,153.0,1.53,1010.7,405.0,0,0.0
17.7,71.8,134.0,2.46,1010.1,392.0,0,0.0
13.0,86.3,154.0,4.98,1010.4,438.0,0,0.0
18.2,77.5,212.0,1.52,1008.7,370.0,0,0.0
21.9,92.3,182.0,3.04,1013.3,433.0,0,0.0
13.4,78.7,232.0,2.6,1010.5,406.0,0,0.0
17.2,82.7,155.0,0.59,1010.3,355.0,0,0.0
20.8,70.3,183.0,4.46,1012.0,447.0,0,0.0
19.4,72.0,187.0,0.85,1010.7,401.0,0,0.0
19.0,81.0,181.0,2.87,1011.9,379.0,0,0.0
19.0,83.4,199.0,3.3,1008.4,397.0,0,0.0
15.6,86.8,120.0,3.64,1012.9,436.0,1,20.6
14.9,78.2,167.0,3.94,1013.6,380.0,0,0.0
20.1,89.5,98.0,1.77,1011.9,369.0,0,0.0
20.1,94.1,145.0,0.55,1013.7,363.0,0,0.0
20.7,91.8,163.0,4.12,1008.9,380.0,0,0.0
21.1,71.1,191.0,3.18,1010.9,428.0,0,0.0
17.1,83.5,242.0,4.68,1011.6,397.0,0,0.0
17.0,72.9,182.0,4.61,1011.5,373.0,0,0.0
20.0,76.8,206.0,4.72,1010.4,367.0,0,0.0
18.5,97.6,166.0,2.93,1010.0,383.0,0,0.0
19.0,74.0,188.0,2.17,1008.8,444.0,0,0.0
20.0,84.0,92.0,4.46,1010.4,384.0,0,0.0
20.9,87.3,123.0,2.76,1009.0,449.0,0,0.0
15.4,89.7,142.0,1.42,1012.4,399.0,1,42.7
15.8,85.7,160.0,4.77,1009.3,368.0,1,19.3
12.9,70.3,88.0,4.91,1008.4,439.0,0,0.0
17.8,79.1,104.0,2.83,1011.3,396.0,0,0.0
12.4,84.5,127.0,0.88,1011.6,421.0,0,0.0
16.7,72.5,245.0,2.44,1013.2,448.0,0,0.0
17.4,79.8,136.0,4.52,1011.5,355.0,0,0.0
14.9,70.9,162.0,5.01,1010.1,360.0,0,0.0
17.9,72.2,113.0,1.52,1012.8,422.0,0,0.0
12.3,81.1,184.0,0.83,1011.2,378.0,0,0.0
12.4,73.7,128.0,4.89,1008.5,368.0,0,0.0
20.2,85.9,115.0,2.45,1011.4,354.0,0,0.0
15.6,89.3,168.0,3.21,1013.4,352.0,1,37.1
13.3,92.4,81.0,5.34,1010.4,427.0,0,0.0
17.2,75.6,81.0,0.83,1009.8,363.0,0,0.0
19.7,74.7,117.0,3.74,1008.9,397.0,0,0.0
14.2,72.9,86.0,0.87,1008.9,411.0,0,0.0
18.2,87.8,98.0,2.38,1010.6,393.0,0,0.0
12.9,89.8,138.0,4.52,1011.6,353.0,0,0.0
12.5,70.9,216.0,2.67,1008.5,428.0,0,0.0
17.3,96.2,177.0,5.49,1013.6,351.0,1,83.6
17.4,71.5,167.0,3.3,1012.5,426.0,0,0.0
18.4,85.2,130.0,2.11,1011.5,439.0,0,0.0
19.3,89.9,238.0,1.6,1013.0,393.0,0,0.0
21.8,94.4,147.0,2.25,1008.5,404.0,0,0.0
17.2,90.0,95.0,2.36,1010.9,398.0,1,42.4
15.2,92.4,185.0,0.84,1011.8,389.0,1,58.2
20.0,79.5,99.0,2.35,1013.0,439.0,0,0.0
14.7,92.8,139.0,2.82,1012.7,439.0,0,0.0
16.4,72.2,166.0,4.11,1009.7,384.0,0,0.0
12.8,95.1,229.0,3.78,1013.6,412.0,0,0.0
12.3,85.3,164.0,4.04,1008.7,443.0,0,0.0
21.6,92.9,199.0,0.54,1013.3,446.0,0,0.0
20.4,82.7,249.0,1.59,1013.8,401.0,0,0.0
19.0,88.0,102.0,3.81,1009.1,395.0,0,0.0
16.1,84.7,127.0,2.92,1012.3,378.0,0,0.0
13.7,90.5,147.0,0.53,1008.2,446.0,0,0.0
13.6,72.3,152.0,4.52,1010.4,364.0,0,0.0
14.5,71.7,150.0,4.36,1011.1,408.0,0,0.0
17.5,76.9,234.0,3.24,1011.5,378.0,0,0.0
19.1,74.5,201.0,0.83,1013.6,378.0,0,0.0
18.6,94.4,183.0,4.33,1012.0,390.0,0,0.0
14.8,76.1,133.0,3.42,1010.9,450.0,0,0.0
21.5,97.3,220.0,4.41,1012.9,355.0,0,0.0
19.4,79.4,242.0,4.26,1013.7,408.0,0,0.0
17.5,75.1,220.0,4.52,1008.1,358.0,0,0.0
18.1,92.1,80.0,3.09,1013.9,365.0,0,0.0
16.2,88.4,188.0,1.2,1008.5,394.0,1,33.5
14.5,83.9,89.0,3.86,1012.9,401.0,0,0.0
15.6,85.6,124.0,3.6,1009.7,376.0,1,9.1
19.6,90.1,90.0,4.21,1008.8,382.0,0,0.0
12.1,76.4,183.0,1.35,1010.6,359.0,0,0.0
13.2,97.9,197.0,1.47,1011.9,380.0,0,0.0
12.5,97.3,99.0,4.95,1010.3,447.0,0,0.0
12.4,88.2,145.0,4.25,1008.3,444.0,0,0.0
20.6,75.6,158.0,5.04,1011.6,383.0,0,0.0
19.0,89.0,143.0,4.29,1013.4,407.0,0,0.0
16.7,72.0,101.0,3.49,1010.3,441.0,0,0.0
13.0,70.9,151.0,3.77,1009.3,351.0,0,0.0
16.9,77.2,208.0,4.95,1010.7,431.0,0,0.0
16.7,83.0,92.0,3.39,1008.3,445.0,0,0.0
13.7,94.3,94.0,3.66,1012.9,359.0,0,0.0
16.3,90.4,140.0,1.28,1013.0,366.0,1,50.6
16.0,90.8,240.0,2.87,1011.5,446.0,1,48.1
18.2,81.9,194.0,4.08,1010.1,404.0,0,0.0
18.4,79.7,195.0,1.85,1012.8,351.0,0,0.0
12.5,80.4,142.0,1.51,1011.3,376.0,0,0.0
15.7,97.7,181.0,2.07,1013.0,395.0,1,95.0
18.3,71.1,82.0,1.71,1011.8,419.0,0,0.0
17.0,94.3,188.0,1.57,1012.7,423.0,1,65.4
20.6,86.2,235.0,2.62,1011.6,450.0,0,0.0
18.6,82.3,184.0,5.04,1010.5,379.0,0,0.0
13.6,90.3,229.0,3.04,1013.7,404.0,0,0.0
12.7,83.6,203.0,1.44,1011.2,403.0,0,0.0
18.4,94.5,100.0,0.88,1011.6,391.0,0,0.0
12.3,95.2,233.0,3.98,1009.3,367.0,0,0.0
17.9,81.8,91.0,2.41,1011.8,448.0,0,0.0
21.4,77.8,171.0,4.61,1011.4,435.0,0,0.0
17.8,86.6,104.0,3.8,1009.1,400.0,1,24.1
15.9,95.5,82.0,4.48,1008.4,410.0,1,74.4
18.4,75.9,152.0,1.86,1011.6,373.0,0,0.0
16.6,87.4,130.0,3.96,1012.6,404.0,1,24.0
17.5,87.7,163.0,1.82,1011.1,419.0,1,28.6
21.4,90.5,178.0,5.2,1009.4,402.0,0,0.0
15.9,73.7,87.0,3.68,1012.0,449.0,0,0.0
21.6,90.0,101.0,2.12,1008.5,411.0,0,0.0
21.1,95.5,175.0,1.85,1010.7,387.0,0,0.0
14.0,75.0,138.0,1.45,1009.0,427.0,0,0.0
12.7,76.7,204.0,3.97,1009.1,367.0,0,0.0
13.0,97.2,191.0,1.59,1009.2,388.0,0,0.0
12.2,75.1,224.0,3.48,1010.3,385.0,0,0.0
12.9,93.9,198.0,1.82,1008.3,393.0,0,0.0
18.8,83.8,153.0,3.81,1010.4,428.0,0,0.0
12.7,76.9,194.0,4.57,1011.1,398.0,0,0.0
15.2,94.4,127.0,4.39,1010.9,429.0,1,66.5
20.4,82.5,132.0,4.3,1010.3,408.0,0,0.0
12.2,84.4,214.0,1.44,1013.0,384.0,0,0.0
20.1,80.1,156.0,0.94,1008.9,431.0,0,0.0
14.8,86.6,216.0,3.99,1011.0,374.0,0,0.0
13.2,74.6,220.0,2.34,1008.4,372.0,0,0.0
19.0,81.0,226.0,2.66,1008.4,400.0,0,0.0
18.3,97.1,236.0,0.66,1011.4,376.0,0,0.0
20.8,77.2,153.0,1.8,1011.4,351.0,0,0.0
19.4,88.4,134.0,0.67,1013.3,415.0,0,0.0
20.0,79.1,179.0,4.9,1011.3,401.0,0,0.0
14.8,91.7,143.0,1.72,1013.8,395.0,0,0.0
13.8,73.7,182.0,3.29,1008.3,447.0,0,0.0
19.5,97.2,200.0,0.69,1008.6,407.0,0,0.0
20.1,82.7,197.0,3.83,1008.3,436.0,0,0.0
21.9,76.6,144.0,2.12,1009.1,364.0,0,0.0
16.1,72.1,108.0,4.99,1011.2,407.0,0,0.0
15.7,74.8,153.0,4.94,1011.9,437.0,0,0.0
19.8,84.6,104.0,2.13,1008.3,408.0,0,0.0
15.4,79.4,231.0,5.0,1013.7,422.0,0,0.0
21.3,93.2,139.0,5.48,1013.1,387.0,0,0.0
20.6,82.1,106.0,4.63,1009.8,359.0,0,0.0
16.3,77.0,84.0,4.72,1008.5,396.0,0,0.0
19.5,87.3,190.0,1.75,1009.0,389.0,0,0.0
19.5,89.8,188.0,3.38,1008.8,437.0,0,0.0
13.0,74.7,138.0,0.84,1008.7,374.0,0,0.0
21.0,74.7,92.0,0.97,1011.1,447.0,0,0.0
17.1,71.0,150.0,5.49,1009.5,446.0,0,0.0
20.3,90.6,133.0,2.13,1010.1,375.0,0,0.0
15.2,88.6,195.0,4.24,1013.9,385.0,1,29.1
21.0,83.3,183.0,4.53,1012.1,440.0,0,0.0
15.9,93.6,142.0,4.79,1013.7,447.0,1,65.4
12.1,92.6,117.0,5.49,1008.9,394.0,0,0.0
21.1,86.4,248.0,1.71,1010.3,382.0,0,0.0
12.9,94.3,157.0,0.7,1011.3,403.0,0,0.0
15.2,75.8,197.0,2.56,1008.5,419.0,0,0.0
21.5,73.1,104.0,1.15,1008.0,377.0,0,0.0
21.5,77.6,163.0,0.61,1012.0,424.0,0,0.0
17.7,71.6,85.0,2.3,1011.9,355.0,0,0.0
18.3,84.9,166.0,4.42,1010.5,355.0,0,0.0
16.5,96.2,244.0,3.33,1010.9,389.0,1,83.5
14.9,71.1,145.0,2.06,1010.5,385.0,0,0.0
15.3,73.4,87.0,3.77,1008.1,382.0,0,0.0
18.7,82.7,85.0,1.66,1010.0,399.0,0,0.0
19.5,96.1,146.0,0.57,1009.1,382.0,0,0.0
19.9,78.9,107.0,4.32,1008.6,369.0,0,0.0
19.9,84.2,84.0,3.62,1013.7,381.0,0,0.0
12.9,71.2,209.0,4.31,1011.6,447.0,0,0.0
16.9,74.2,158.0,0.69,1012.4,391.0,0,0.0
12.6,97.6,129.0,4.69,1009.9,394.0,0,0.0
17.5,97.0,233.0,3.6,1010.4,408.0,1,85.2
16.4,70.1,100.0,3.32,1009.4,448.0,0,0.0
20.9,96.7,243.0,3.62,1008.6,374.0,0,0.0
15.5,87.9,133.0,4.82,1009.1,418.0,1,27.3
13.2,94.3,231.0,3.43,1012.8,422.0,0,0.0
13.4,82.7,183.0,3.4,1012.1,411.0,0,0.0
19.6,84.4,221.0,5.45,1011.3,359.0,0,0.0
18.2,83.7,247.0,4.28,1010.9,418.0,0,0.0
13.0,88.7,129.0,2.71,1013.5,356.0,0,0.0
12.8,73.9,243.0,4.04,1008.4,410.0,0,0.0
19.0,70.8,146.0,2.45,1009.7,424.0,0,0.0
12.7,78.6,146.0,1.64,1010.1,371.0,0,0.0
20.2,89.7,138.0,3.48,1012.7,434.0,0,0.0
19.1,75.7,172.0,5.14,1014.0,353.0,0,0.0
12.8,88.9,106.0,5.15,1009.4,434.0,0,0.0
12.8,97.2,174.0,2.21,1013.2,396.0,0,0.0
21.9,72.6,172.0,3.14,1013.0,372.0,0,0.0
15.7,88.8,210.0,1.56,1009.3,363.0,1,39.3
15.7,82.4,222.0,5.48,1010.4,445.0,0,0.0
